,n_nodes,n_edges,edge_node_ratio,bi_ratio,w_b_edges,w_edges,d_b_edges,d_edges,w_bi_ratio,d_bi_ratio
93,432,7402,17.13425925925926,0.3912456092947852,1927,4970,969,2432,0.38772635814889334,0.3984375
94,432,8704,20.14814814814815,0.39533547794117646,2467,6293,974,2411,0.3920228825679326,0.40398175031107425
95,433,8759,20.22863741339492,0.40529740837995204,2528,6244,1022,2515,0.4048686739269699,0.40636182902584495
96,432,4323,10.006944444444445,0.4013416608836456,839,2098,896,2225,0.39990467111534794,0.40269662921348315
97,434,4446,10.244239631336406,0.398110661268556,846,2180,924,2266,0.38807339449541284,0.4077669902912621
98,432,4409,10.206018518518519,0.3699251530959401,801,2215,830,2194,0.36162528216704287,0.37830446672743845
99,429,4341,10.118881118881118,0.38009675190048375,812,2168,838,2173,0.37453874538745385,0.38564196962724345
100,434,4202,9.682027649769585,0.3800571156592099,747,2102,850,2100,0.3553758325404377,0.40476190476190477
101,435,4914,11.296551724137931,0.36752136752136755,927,2643,879,2271,0.3507377979568672,0.3870541611624835
102,433,5348,12.351039260969976,0.368735976065819,1103,3041,869,2307,0.3627096349884906,0.376679670567837
103,431,4846,11.243619489559165,0.36896409409822534,892,2549,896,2297,0.34994115339348764,0.39007400957771005
104,432,4215,9.756944444444445,0.37224199288256227,774,2160,795,2055,0.35833333333333334,0.38686131386861317
105,436,4530,10.389908256880734,0.38322295805739515,900,2412,836,2118,0.373134328358209,0.3947119924457035
106,429,5534,12.8997668997669,0.38941091434766895,1216,3205,939,2329,0.3794071762870515,0.40317732932589095
107,435,5568,12.8,0.3805675287356322,1211,3265,908,2303,0.3709035222052067,0.3942683456361268
108,430,5907,13.737209302325581,0.393600812595226,1351,3594,974,2313,0.37590428491930994,0.4210981409424989
109,402,5631,14.007462686567164,0.40010655301012255,1310,3429,943,2202,0.38203557888597256,0.4282470481380563
110,372,5530,14.865591397849462,0.40759493670886077,1417,3603,837,1927,0.3932833749653067,0.4343539180072652
111,324,4694,14.487654320987655,0.40051129100979976,1198,3046,682,1648,0.3933026920551543,0.41383495145631066
112,289,3152,10.906574394463668,0.40196700507614214,718,1879,549,1273,0.38211814795103777,0.4312647289866457
113,249,2416,9.70281124497992,0.4197019867549669,579,1397,435,1019,0.41445955619183966,0.4268891069676153
114,225,2167,9.63111111111111,0.4623904014766959,590,1275,412,892,0.4627450980392157,0.4618834080717489
